City,State,Original_Portal,Portal_URL,Software,TotalDatasetsAvailable,NotesDatasetsAvailable,CountVettedPublicLibData,TypePLDataAvailable,LibraryDataCategories,ProportionPublicLibData,DateLibDataLastUpdated,Notes,OpenDataCensusScores,StateAbbr,LibID,LibName,Locale,ServiceAreaPop,UnduplicatedPop,CentralLibs,BranchLibs,Bookmobiles,MLSLibStaff,LibStaff,OtherStaff,TotalStaff,LocalRevenue,StateRevenue,FederalRevenue,OtherRevenue,TotalRevenue,Salaries,Benefits,TotalStaffExpenditures,PrintExpenditures,ElectronicExpenditures,OtherCollectionExpenditures,TotalCollectionExpenditures,OtherExpenditures,TotalExpenditures,LocalCapitalRevenue,StateCapitalRevenue,FederalCapitalRevenue,OtherCapitalRevenue,TotalCapitalRevenue,CapitalExpenditures,PrintMaterials,EBooks,AudioMaterials,AudioDownloads,VideoMaterials,VideoDownloads,LocalDatabases,StateDatabases,TotalDatabases,PrintSerials,Hours,Visits,References,Users,TotalCirculation,KidsCirculation,ElectronicCirculation,PhysicalItemCirculation,ElectronicInfoRetrievals,ElectronicContentUses,TotalCirculationAndRetrievals,LoansTo,LoansFrom,TotalPrograms,KidsPrograms,YAPrograms,ProgramAudience,KidsProgramAudience,YAProgramAudience,Computers,ComputerUses,WiFiSessions,Year,StartDate,EndDate,ReportingStatus,BEARegion,InterlibraryRelationship,MailingCity,MailingZip,County,CountyPop,MetroMicroArea,ESRIMatchStatus,GeographicCode,GeocodeScore,Longitude
Anaheim,California,http://anaheim.opendata.junar.com/home,http://main-anaheim.opendata.arcgis.com/,ArcGIS ,4,,0,,,0,,,,CA,M603,ANAHEIM PUBLIC LIBRARY,11,358136,358136,1,7,1,19.42,20.42,51.77,72.19,8625020,36436,241034,342866,9245356,3947852,2220377,6168229,390734,104294,79196,574224,2449951,9192404,57612,0,0,0,57612,0,480161,4416,9980,792,38706,0,20,0,20,656,15461,1098146,89892,217661,1169829,707524,41718,1128111,6965,48683,1176794,3973,12,3924,3265,314,99186,83883,7362,227,150712,-1,2017,7/1/2015,6/30/2016,1,8,ME,ANAHEIM,92805,ORANGE,3172532,0,E,CI1,100,"(33.831962, -117.918992)"
Anchorage,Alaska,https://data.muni.org/,https://data.muni.org/,Socrata,60,,0,,,0,,,1430,AK,AK0002-011,ANCHORAGE PUBLIC LIBRARY,11,299037,296338,1,4,0,18.7,25.7,52.5,78.2,11861783,51592,192990,209834,12316199,4198468,2630020,6828488,564411,290209,31891,886511,4472393,12187392,0,15000000,0,0,15000000,5000000,367652,13694,37639,47992,66509,0,14,42,56,727,10608,860751,67785,100065,1831505,531712,137015,1688900,214404,351419,2040319,2971,2619,1898,971,426,55767,39438,4955,162,130431,22549,2017,1/1/2015,12/31/2015,1,8,NO,ANCHORAGE,99503,ANCHORAGE,298192,0,E,MA1,100,"(61.187512, -149.876735)"
Arlington,Texas,http://www.arlington-tx.gov/data/,http://data-arlingtontx.opendata.arcgis.com/,ArcGIS ,38,,1,location ,geospatial,0.02631578947,11.27.2018,,,TX,16,ARLINGTON PUBLIC LIBRARY SYSTEM,11,388125,387235,1,6,0,19.98,24.98,78.1,103.08,7275608,0,170072,365332,7811012,3819295,1215866,5035161,527886,307206,144492,979584,1763031,7777776,0,0,0,23295,23295,23295,483432,20389,37401,11473,36826,0,19,61,80,362,20462,1253333,101888,172525,2292266,942754,226365,2065901,-1,226365,2292266,53964,29417,3773,1636,332,76417,51896,4837,250,256566,0,2017,10/1/2015,9/30/2016,2,6,ME,ARLINGTON,76004,TARRANT,2016872,0,E,CI1,100,"(32.738349, -97.114584)"
Aurora,Colorado,https://apps2.auroragov.org/opendata/,http://data-auroraco.opendata.arcgis.com/,ArcGIS ,103,,0,,,0,,,,CO,FSCS0007,AURORA PUBLIC LIBRARY,11,357340,353335,1,5,0,12,12,56.3,68.3,5703300,83257,0,351542,6138099,2929592,893705,3823297,740585,243411,28973,1012969,835425,5671691,0,0,0,0,0,0,220288,94303,17688,29497,17070,10948,37,0,37,215,19040,1161139,184662,165007,1092078,332289,179773,912305,26747,206520,1118825,1083,989,1789,1257,148,111075,44919,2151,274,385456,-1,2017,1/1/2016,12/31/2016,1,7,ME,AURORA,80012,ARAPAHOE,637068,0,E,CI1,100,"(39.710064, -104.815473)"
Bakersfield,California,http://www.bakersfieldcity.us/gov/depts/community_development/planning/planning_services/mapping_n_gis.htm,http://www.bakersfieldcity.us/gov/depts/community_development/planning/planning_services/mapping_n_gis.htm,ArcGIS ,30,map layers,0,Shapefiles (layers),geospatial,0,11.01.2018,"Two different data ""portals"" which are difficult to compare to traditional data portals like Socrata https://bakersfieldcity.us/gov/depts/geographic_information_services/data_download.htm and http://bakersfielddatalibrary-cob.opendata.arcgis.com/ ",,CA,M647,KERN COUNTY LIBRARY,11,886507,886507,1,23,3,11,12,72.2,84.2,6966804,0,89000,535067,7590871,3452395,2126607,5579002,458117,110652,11908,580677,1431192,7590871,0,0,0,0,0,0,787002,83671,36534,2409,24344,0,25,0,25,278,37544,890526,122779,148509,957813,458646,101122,856691,10201,111323,968014,124040,73523,3844,2810,353,68496,56143,3308,252,195351,-1,2017,7/1/2015,6/30/2016,1,8,ME,BAKERSFIELD,93301,KERN,884788,0,E,CO1,100,"(35.373214, -119.00943)"
Baltimore,Maryland,https://data.baltimorecity.gov/,https://data.baltimorecity.gov/,Socrata,104,restricted to type: Datasets,1,location ,geospatial,0.009615384615,02.05.2017,"Searches restricted to view type ""Datasets""",520,MD,MD0003,ENOCH PRATT FREE LIBRARY,11,622104,622104,1,21,2,97,120,280,400,15914600,8266100,194260,17073940,41448900,19784777,7225684,27010461,1209375,1618255,280061,3107691,10896029,41014181,5619219,0,0,0,5619219,1676700,1974698,48969,62723,29074,58289,0,60,9,69,2307,41291,1697153,2025590,293908,1194530,382234,99660,1094870,910486,1010146,2105016,42406,33890,8571,4595,1258,149738,92370,14991,914,315963,762358,2017,7/1/2015,6/30/2016,1,2,NO,BALTIMORE,21201,BALTIMORE CITY,614664,0,E,CI2,100,"(39.294539, -76.616867)"
Baton Rouge,Louisiana,https://data.brla.gov/,https://data.brla.gov/,Socrata,37,restricted to type: Datasets,1,location,geospatial,0.02702702703,12.02.2018,"Searches restricted to view type ""Datasets"". This is a dataset with all City-Parish facilities and includes public library locations. It is not specific to libraries.",1425,LA,FSCS4016,EAST BATON ROUGE PARISH,12,447037,444945,1,13,3,111.5,324,78.25,402.25,34901930,0,0,335608,35237538,14556295,7163112,21719407,2281214,2594465,764463,5640142,11563027,38922576,8950940,0,0,0,8950940,19571725,1667004,103425,64550,28959,161435,5516,112,51,163,2770,48464,2455899,861525,294505,2729254,573653,478835,2250419,1356091,1834926,4085345,7623,2294,22608,7492,3595,457177,84561,55243,723,675939,753583,2017,1/1/2016,12/31/2016,1,5,NO,BATON ROUGE,70806,EAST BATON ROUGE,447037,0,E,CO1,100,"(30.442467, -91.106342)"
Berkeley,California,http://www.ci.berkeley.ca.us/ContentDisplay.aspx?id=105239,http://www.ci.berkeley.ca.us/ContentDisplay.aspx?id=105239,Socrata,25,,0,,,0,,,,CA,M607,BERKELEY PUBLIC LIBRARY,12,119915,119915,1,4,0,32.3,32.3,80.7,113,17286659,59167,0,372823,17718649,7806034,5238162,13044196,735393,364107,202886,1302386,1992211,16338793,0,0,0,3410,3410,2500,453127,234494,45212,319918,30644,0,5,0,5,360,13624,1350858,235720,115376,2043562,422489,203580,1839982,20923,224503,2064485,93787,92582,3176,1341,522,82963,44829,14708,134,169571,84758,2017,7/1/2015,6/30/2016,1,8,ME,BERKELEY,94704,ALAMEDA,1647704,0,E,CI1,100,"(37.868364, -122.268567)"
Boston,Massachusetts,https://data.boston.gov/,https://data.boston.gov/,CKAN,142,,3,"location, electricity usage, user counts","geospatial,utilities,patrons",0.02112676056,,,1390,MA,BOSTON,BOSTON PUBLIC LIBRARY,11,645966,641332,1,25,0,141.38,147.33,271.15,418.48,34092573,1099688,0,6228077,41420338,24203667,318437,24522104,2251559,1723799,371996,4347354,13154857,42024315,36380081,0,0,0,36380081,1485354,7997591,95927,35220,32343,68272,224,190,60,250,2107,52476,3540693,517313,149106,4792249,1431117,1185055,3598539,371019,1556074,5154613,11642,7626,15745,8764,1156,228959,141438,8764,585,572000,454163,2017,7/1/2015,6/30/2016,2,1,ME,BOSTON,2116,SUFFOLK,784230,0,E,CI1,100,"(42.349528, -71.079283)"
Buffalo,New York,https://data.ny.gov/,https://data.buffalony.gov/,Socrata,616,restricted to type: Datasets,0,,,0,,"Searches restricted to view type ""Datasets"".",,NY,800000000,BUFFALO AND ERIE COUNTY PUBLIC LIBRARY,11,919040,911925,1,8,1,45.14,57.39,168.11,225.5,24414277,3275342,64909,1126711,28881239,8709396,4453214,13162610,381489,338476,226998,946963,12675415,26784988,0,0,0,207686,207686,304621,1920444,44784,103946,8900,81042,99,46,10,56,866,19759,937611,180936,78694,3002670,520715,552201,2450469,518059,1070260,3520729,1616,4639,2443,717,131,55701,12403,2442,385,356167,474652,2017,1/1/2016,12/31/2016,1,2,HQ,BUFFALO,14203,ERIE,921046,0,E,CO1,100,"(42.885366, -78.873364)"
Chandler,Arizona,https://www.chandlerpd.com/data/,https://www.chandlerpd.com/data/,Unknown,9,only police dept data,0,,,0,,,,AZ,AE-CHANDLER,CHANDLER PUBLIC LIBRARY,21,250547,158811,1,3,0,21,23,52.5,75.5,5913516,12356,3000,180000,6108872,3214349,1739226,4953575,124441,405523,76333,606297,549000,6108872,125000,0,0,0,125000,52084,322273,506182,18991,1696,20738,0,20,33,53,1209,12174,1042805,212694,261523,1843381,931454,198078,1645303,445402,643480,2288783,60,47,5116,2197,1099,145149,87644,34141,284,226621,4599570,2017,7/1/2015,6/30/2016,1,6,NO,CHANDLER,85244,MARICOPA,4242997,0,E,CI2,100,"(33.302638, -111.837526)"
Charlotte,North Carolina,http://clt-charlotte.opendata.arcgis.com/,http://data.charlottenc.gov/,ArcGIS ,138,,2,location (Spatial dataset),geospatial,0.01449275362,11.28.2018,,790,NC,C-MECKLENBURG,CHARLOTTE MECKLENBURG LIBRARY,11,1035605,1034221,1,19,0,121,122,294.38,416.38,34674473,606135,122424,2995019,38398051,18725792,6839184,25564976,2107567,977447,370909,3455923,9411711,38432610,2226202,0,0,0,2226202,2226202,900249,54762,54813,13864,32146,650,24,74,98,1865,62576,3391653,1181215,929722,6307027,2823442,883089,5423938,1820141,2703230,8127168,3786,2392,24985,17385,3989,388417,305758,47293,912,758670,602421,2017,7/1/2015,6/30/2016,1,5,NO,CHARLOTTE,28202,MECKLENBURG,1054835,0,E,CO1,100,"(35.228967, -80.840485)"
Chicago,Illinois,https://data.cityofchicago.org/,https://data.cityofchicago.org/,Socrata,452,restricted to type: Datasets,55,"locations, circulation, popular titles, computer sessions, FOIA requests, visitors, holds, wi-fi usage, summer reading program","geospatial,catalogandcirculation,technologyofferings,publicrecords,patrons,utilities,eventscalendar",0.1216814159,12.27.2018,"Searches restricted to view type ""Datasets"".",1655,IL,30108,CHICAGO PUBLIC LIBRARY,11,2695598,2711217,1,76,0,288.06,288.06,503.44,791.5,74299810,7302094,1756411,2168875,85527190,60123787,25095669,85219456,7500000,0,0,7500000,19604789,112324245,9044804,2980310,0,0,12025114,12025114,5451914,46195,263711,15479,187431,354,69,13,82,7880,199784,9438150,65245,1120929,10181253,3793890,913253,9268048,-1,-1,-1,7821,5598,11961,8714,3247,150215,132701,17514,2508,2586291,3616930,2017,1/1/2015,12/31/2015,2,3,ME,CHICAGO,60605,COOK,5203499,0,E,CI1,100,"(41.876843, -87.627682)"
Chula Vista,California,http://www.chulavistaca.gov/departments/police-department/about-us/open-data-initiative,https://chulavista-cvgis.opendata.arcgis.com/,ArcGIS ,45,,0,,,0,,,,CA,M619,CHULA VISTA PUBLIC LIBRARY,21,265070,265070,1,2,0,14.7,16.2,24.2,40.4,3112098,28859,0,568381,3709338,2147947,1015085,3163032,71910,62780,16183,150873,193762,3507667,0,0,0,1328712,1328712,170313,266956,7190,20523,529,20523,0,10,0,10,139,8502,857475,118534,103476,710796,320796,37486,673310,6097,43583,716893,0,0,1762,1285,166,50699,36463,1180,110,111352,55808,2017,7/1/2015,6/30/2016,1,8,ME,CHULA VISTA,91910,SAN DIEGO,3317749,0,E,CI1,100,"(32.640544, -117.082607)"
Cincinnati,Ohio,https://data.cincinnati-oh.gov/,https://data.cincinnati-oh.gov/,Socrata,83,restricted to type: Datasets,0,,,0,,,600,OH,149C,"CINCINNATI AND HAMILTON COUNTY, PL OF",11,802374,802374,1,40,0,188.5,188.5,456.6,645.1,16300929,38149422,0,4612589,59062940,26386773,8255077,34641850,3397942,3994426,1720105,9112473,11416455,55170778,0,0,0,0,0,628953,4936677,5889477,362864,383338,532412,41477,116,73,189,6584,106794,6176664,1765608,531528,21226498,5380880,3504928,17721570,3843790,7348718,25070288,80607,79896,17468,11291,1883,417016,308778,26585,856,1530275,599805,2017,1/1/2016,12/31/2016,1,3,NO,CINCINNATI,45202,HAMILTON,809099,0,E,CO1,100,"(39.105228, -84.513948)"
Columbus,Ohio,http://data-columbus.opendata.arcgis.com/,http://data-columbus.opendata.arcgis.com/,ArcGIS ,79,,0,,,0,,"Only dataset related to libraries is called ""Public Places""",140,OH,157C,COLUMBUS METROPOLITAN LIBRARY,11,850548,850548,1,23,2,115,115,573,688,46034928,21011765,0,7273437,74320130,29231892,7676496,36908388,4375177,2067529,1332680,7775386,16209221,60892995,0,0,0,11442997,11442997,51139613,1322171,181830,93276,379863,60617,29830,65,73,138,3241,76874,5317000,1486992,627380,16094874,6401556,1628990,14465884,2430127,4059117,18525001,436127,1058220,7960,5814,1674,200785,168662,20451,1141,1521379,285616,2017,1/1/2016,12/31/2016,1,3,NO,COLUMBUS,43215,FRANKLIN,1264518,0,E,CO1,100,"(39.960837, -82.990546)"
Denver,Colorado,https://www.denvergov.org/opendata,https://www.denvergov.org/opendata,CKAN,229,,1,"location, door count, circulation, square footage","geospatial,patrons,catalogandcirculation,facilities",0.004366812227,01.11.2018,,815,CO,FSCS0034,DENVER PUBLIC LIBRARY,11,683096,675440,1,25,2,168.23,168.23,477.8,646.03,43323893,155698,0,2414153,45893744,25901697,9015456,34917153,2295157,1504202,1623018,5422377,5157251,45496781,1647399,0,0,0,1647399,1647399,1415905,67723,114128,34515,191687,1050,81,0,81,3354,66064,4259373,495391,473293,9323082,1797766,1079491,8243591,941648,2021139,10264730,50089,65718,23219,16051,1241,431776,341467,14003,956,799455,-1,2017,1/1/2016,12/31/2016,1,7,ME,DENVER,80204,DENVER,693060,0,E,CI1,100,"(39.738365, -104.987879)"
Detroit,Michigan,https://data.detroitmi.gov/,https://data.detroitmi.gov/,Socrata,85,restricted to type: Datasets,0,,,0,,"Searches restricted to view type ""Datasets"".",515,MI,MI0083-002,DETROIT PUBLIC LIBRARY,11,713777,712793,1,20,1,78,78,210,288,31453004,4325391,0,799569,36577964,11993148,6786795,18779943,499000,222102,686255,1407357,9118246,29305546,0,0,0,0,0,0,4083856,6517,129057,5639,174763,2678,31,0,31,1400,38400,2212482,653961,365888,1102902,343442,29531,1073371,0,29531,1102902,1400,120,13259,5210,1288,170515,88761,18469,716,531733,101082,2017,7/1/2015,6/30/2016,1,3,ME,DETROIT,48202,WAYNE,1749366,0,E,CI1,100,"(42.358871, -83.065679)"
Durham,North Carolina,https://opendurham.nc.gov/page/home/,http://gis-durhamnc.opendata.arcgis.com/,ArcGIS ,163,,23,"location, door counts, programs, program attendance, collections, Spanish Language Use, meetings, meeting attendance, technology use, borrower data","geospatial,patrons,eventscalendar,catalogandcirculation,technologyofferings",0.1411042945,12.20.2018,,640,NC,C-DURHAM,DURHAM COUNTY LIBRARY,11,297219,296822,1,6,0,50.77,50.77,78.03,128.8,11122872,234962,80557,14783,11453174,5688675,1882094,7570769,997810,386760,233447,1618017,1382673,10571459,255292,0,0,0,255292,513064,574034,38955,47072,5188,49404,0,13,74,87,490,19018,1106403,178152,216429,2881590,1358304,197387,2684203,221288,418675,3102878,1141,2524,6386,3216,1288,120036,92499,10946,236,320315,-1,2017,7/1/2015,6/30/2016,1,5,NO,DURHAM,27702,DURHAM,306212,0,E,CO2,100,"(35.994952, -78.897322)"
Fort Wayne,Indiana,http://maps.cityoffortwayne.org/,http://maps.cityoffortwayne.org/,ArcGIS ,51,map layers,0,,,0,,,,IN,3021,ALLEN COUNTY PUBLIC LIBRARY,11,355329,349161,1,13,0,71.25,93.65,202.3,295.95,22890586,1698824,0,2480408,27069818,11583481,5415640,16999121,2761154,567983,344467,3673604,5204192,25876917,0,0,0,0,0,0,3048427,220412,135970,14920,163633,11569,822,75,897,5566,41028,2512375,383316,304839,13311490,1397063,8640543,4670947,4681,8645224,13316171,9313,1797,6244,4566,998,181456,138010,23727,507,470269,1642006,2017,1/1/2016,12/31/2016,1,3,ME,FORT WAYNE,46801,ALLEN,370404,0,E,CO1,92.08,"(41.077736, -85.142559)"
Fort Worth,Texas,https://data.fortworthtexas.gov/,https://data.fortworthtexas.gov/,Socrata,10,restricted to type: Datasets,0,,,0,,,,TX,143,FORT WORTH LIBRARY,11,833319,831408,1,15,0,48,48,154.6,202.6,20170707,0,0,71870,20242577,9224397,4112536,13336933,1175158,888175,865161,2928494,4419228,20684655,654900,0,0,0,654900,654900,801740,38068,83795,16033,147104,2166,21,61,82,1798,33146,1637911,1022684,503884,3872685,1549842,465416,3407269,-1,465416,3872685,106592,123568,4923,3459,279,86611,65580,1804,487,257351,0,2017,10/1/2015,9/30/2016,1,6,ME,FORT WORTH,76102,TARRANT,2016872,0,E,CI1,100,"(32.753605, -97.334775)"
Fremont,California,https://fremont.gov/2082/Open-Data,https://fremont.gov/2082/Open-Data,ArcGIS ,15,,0,,,0,,,,CA,M597,ALAMEDA COUNTY LIBRARY,21,573072,573072,1,9,1,40,46,157,203,23880023,164404,6853,4889728,28941008,10805079,5961440,16766519,2597351,863674,545671,4006696,8787075,29560290,0,0,0,0,0,400157,919123,126410,51518,16717,110283,0,68,0,68,1462,18384,2500281,315044,386891,6148553,3555243,343937,5804616,242301,586238,6390854,23150,27558,8975,4913,2066,200999,154746,16521,353,299457,-1,2017,7/1/2015,6/30/2016,1,8,ME,FREMONT,94538,ALAMEDA,1647704,0,E,CO2,100,"(37.551765, -121.971834)"
Glendale,Arizona,http://data-cog-gis.opendata.arcgis.com/,http://data-cog-gis.opendata.arcgis.com/,ArcGIS ,25,,1,location,geospatial,0.04,09.18.2012,,680,AZ,AE-GLENDALE,GLENDALE PUBLIC LIBRARY,21,237723,150683,1,2,0,18.95,18.95,35.85,54.8,4409811,11527,133478,1479,4556295,2465573,816818,3282391,417284,126358,235501,779143,684732,4746266,0,0,0,0,0,0,366159,370913,26596,387409,37685,18356,9,33,42,539,5758,595780,119046,134141,1595137,695794,159776,1435361,592405,752181,2187542,3380,1183,1701,827,193,55472,36793,4615,167,126113,-1,2017,7/1/2015,6/30/2016,1,6,NO,GLENDALE,85302,MARICOPA,4242997,0,E,CI1,100,"(33.578233, -112.187299)"
Greensboro,North Carolina,https://data.greensboro-nc.gov/,https://data.greensboro-nc.gov/,Socrata,14,restricted to type: Datasets,0,,,0,,,,NC,C-GUILFORD,GREENSBORO PUBLIC LIBRARY,11,407375,406830,1,7,0,27,27,69,96,8133420,383054,0,206425,8722899,4054304,1455096,5509400,519496,266302,245509,1031307,1511513,8052220,0,0,0,0,0,0,524818,98761,21271,25186,55550,537,14,74,88,687,28517,2761627,339183,264670,1751226,722573,299251,1455944,365169,664420,2120364,692,463,4210,2343,432,92116,74109,5121,293,395623,-1,2017,7/1/2015,6/30/2016,1,5,NO,GREENSBORO,27402,GUILFORD,521330,0,E,CO2,100,"(36.074139, -79.786714)"
Henderson,Nevada,https://opendata.cityofhenderson.com/,https://opendata.cityofhenderson.com/,Socrata,14,restricted to type: Datasets,0,,,0,,,,NV,NV0012,HENDERSON DISTRICT PUBLIC LIBRARIES,11,287828,287828,1,3,0,28,28,46.5,74.5,4876936,2197314,37300,453149,7564699,3599075,1384304,4983379,516644,243557,111003,871204,1417415,7271998,0,0,0,0,0,184700,332594,13852,18164,35220,32649,10771,30,47,77,164,7704,589632,166585,91018,1677834,745414,215987,1461847,232321,448308,1910155,567,830,1995,896,150,41339,28308,1378,139,169075,75273,2017,7/1/2015,6/30/2016,1,8,NO,HENDERSON,89012,CLARK,2155664,0,E,OTH,100,"(36.018433, -115.082894)"
Honolulu,Hawaii,https://data.honolulu.gov/,https://data.honolulu.gov/,Socrata,36,restricted to type: Datasets,0,,,0,,,35,HI,FSCS0001,HAWAII STATE PUBLIC LIBRARY SYSTEM,11,1431603,1431603,1,49,2,154,156,393.5,549.5,0,32432253,1151422,2108558,35692233,24028303,227578,24255881,2655609,1079092,94230,3828931,6763134,34847946,0,11050000,0,0,11050000,1902333,2967198,58452,209527,22101,168400,0,0,107,107,2726,95597,4490320,552158,997885,6281855,2568785,574281,5707574,5756218,6330499,12038073,262,47,10772,8053,1345,286319,212831,40034,562,845485,555812,2017,7/1/2015,6/30/2016,1,8,ME,HONOLULU,96813,HONOLULU,992605,0,E,OTH,100,"(21.309821, -157.863366)"
Indianapolis,Indiana,http://data.indy.gov/,http://data.indy.gov/,ArcGIS ,229,,0,,,0,,,,IN,8492,INDIANAPOLIS-MARION COUNTY PUBLIC LIBRARY,11,877389,862160,1,23,7,134.25,134.25,297.73,431.98,33984896,3013764,645817,2981466,40625943,16386487,6551168,22937655,2685607,3006029,1115164,6806800,11063816,40808271,11697781,891320,0,10676865,23265966,18313058,1351617,183155,144705,55872,143405,2125,74,75,149,3262,75750,3833152,269433,467887,14635388,4819890,1373371,13262017,984347,2357718,15619735,5887,2677,12008,7497,256,577244,444496,4952,647,862690,2998175,2017,1/1/2016,12/31/2016,1,3,ME,INDIANAPOLIS,46206,MARION,941229,0,E,OTH,92.08,"(39.801629, -86.156801)"
Jersey City,New Jersey,http://data.jerseycitynj.gov/,http://data.jerseycitynj.gov/,OpenDataSoft,338,,0,,,0,,One dataset that is a map of libraries and schools.,435,NJ,JERSEY CITY,JERSEY CITY FREE PUBLIC LIBRARY,11,247597,229347,1,9,1,19.25,19.25,66.5,85.75,8800000,107724,0,130717,9038441,5177056,2370830,7547886,513413,41754,45818,600985,1727841,9876712,0,0,0,0,0,0,526608,155532,11067,319736,25672,12672,6,22,28,11686,25175,299844,22000,211855,365858,262991,19812,346046,2718,22530,368576,92,104,2562,1394,437,43238,27686,2963,185,125785,21580,2017,1/1/2016,12/31/2016,1,2,ME,JERSEY CITY,7302,HUDSON,677983,0,E,CI1,100,"(40.718975, -74.047543)"
Kansas City,Kansas,http://yourdata.wycokck.org/,http://yourdata.wycokck.org/,ArcGIS ,58,,0,,,0,,,,KS,KS0161,"KANSAS CITY, KANSAS PUBLIC LIBRARY",12,155763,155763,0,5,3,25,25,102.48,127.48,7522689,48355,0,2351071,9922115,5185123,1226691,6411814,575841,315000,232840,1123681,3675542,11211037,0,0,0,0,0,0,334905,163925,40282,39992,68986,4691,80,64,144,400,17472,675460,104000,89362,849576,295653,10923,838653,177099,188022,1026675,4587,4252,3624,1657,423,47344,27369,4684,187,147817,-1,2017,1/1/2016,12/31/2016,1,4,ME,KANSAS CITY,66101,WYANDOTTE,163831,0,E,CI1,100,"(39.115503, -94.625151)"
Kansas City,Missouri,https://data.kcmo.org/,https://data.kcmo.org/,Socrata,210,restricted to type: Datasets,0,,,0,,"Searches restricted to view type ""Datasets"".",1290,MO,MO0014,KANSAS CITY PUBLIC LIBRARY,11,218765,218765,1,9,0,35.9,54.9,125.66,180.56,16247980,78914,777534,2304838,19409266,8849830,2311257,11161087,1128006,705157,254757,2087920,7236947,20485954,0,0,0,0,0,0,610820,148991,53755,44566,62120,12033,99,12,111,1071,29416,2068333,316148,265349,2146034,582214,618381,1527653,63277,681658,2209311,8421,2757,5053,2215,1152,167696,75441,26535,360,776146,153714,2017,7/1/2015,6/30/2016,1,4,ME,KANSAS CITY,64105,JACKSON,691801,0,E,MA2,100,"(39.103109, -94.584127)"
Las Vegas,Nevada,https://opendata.lasvegasnevada.gov/,https://opendata.lasvegasnevada.gov/,Socrata,108,restricted to type: Datasets,0,,,0,,,1830,NV,NV0008,LAS VEGAS-CLARK COUNTY LIBRARY DISTRICT,21,1579317,1579317,0,25,0,97,97,368.65,465.65,37865551,20185958,898126,5295263,64244898,26114814,9530751,35645565,3091000,2807790,1985514,7884304,10335669,53865538,0,0,0,0,0,1899797,2246053,109257,222112,306673,463597,28757,115,47,162,4297,62868,6242633,814619,665892,14162393,4634749,1477613,12684780,984384,2461997,15146777,5940,2469,20305,9232,1054,606658,310683,24214,550,1969016,1061794,2017,7/1/2015,6/30/2016,1,8,NO,LAS VEGAS,89113,CLARK,2155664,0,E,OTH,100,"(36.041188, -115.246112)"
Lexington,Kentucky,https://data.lexingtonky.gov/,https://data.lexingtonky.gov/,CKAN,98,,1,location,geospatial,0.01020408163,06.30.2017,map layer only,255,KY,FAYETTE,LEXINGTON PUBLIC LIBRARY,11,314488,312370,1,5,0,45,45,141,186,14634159,226479,7007,957599,15825244,6603976,2162637,8766613,969550,524949,503622,1998121,2531171,13295905,0,0,0,3280525,3280525,4646283,439946,21160,44983,5444,50447,0,9,50,59,763,20748,1880524,626692,235737,2964292,919935,273417,2690875,257231,530648,3221523,1990,3767,4017,2283,215,88811,52421,2281,272,368770,914931,2017,7/1/2015,6/30/2016,1,5,NO,LEXINGTON,40507,FAYETTE,318449,0,E,CO1,100,"(38.045369, -84.495992)"
Lincoln,Nebraska,http://opendata.lincoln.ne.gov/,http://opendata.lincoln.ne.gov/,ArcGIS ,197,,0,,,0,,,385,NE,NE0126,LINCOLN CITY LIBRARIES,11,306468,306468,1,7,1,22.25,32.5,95.25,127.75,8945911,99441,0,775237,9820589,4796168,1849454,6645622,785183,376962,305716,1467861,1885976,9999459,188100,0,0,0,188100,72507,712233,26908,49330,22261,53484,5339,21,25,46,688,24440,1225432,278548,240589,3094290,1501649,250352,2843938,244379,494731,3338669,1536,2286,2945,2310,306,96601,87780,5202,138,214210,149500,2017,9/1/2015,8/31/2016,1,4,ME,LINCOLN,68508,LANCASTER,309637,0,E,CI1,100,"(40.812811, -96.701075)"
Long Beach,California,http://www.longbeach.gov/openlb/,http://datalb.longbeach.gov/,ArcGIS ,97,,2,"location, funded projects","geospatial,financial",0.0206185567,01.10.2018,map layers,290,CA,M657,LONG BEACH PUBLIC LIBRARY,11,484958,484958,1,11,0,40.74,40.74,80.6,121.34,12894683,0,0,973321,13868004,5710497,2880769,8591266,1270637,318840,80264,1669741,5084735,15345742,52663,0,0,0,52663,0,708556,10464,28195,3758,27215,0,24,0,24,761,21628,1262490,324049,263672,1233309,573943,132826,1100483,-1,132826,1233309,489,57,3373,2368,40,67745,59429,1569,227,218717,71951,2017,7/1/2015,6/30/2016,1,8,ME,LONG BEACH,90822,LOS ANGELES,10137915,0,E,CI1,92.08,"(33.768164, -118.19377)"
