City,State,Original_Portal,Portal_URL,Software,TotalDatasetsAvailable,NotesDatasetsAvailable,CountVettedPublicLibData,TypePLDataAvailable,LibraryDataCategories,ProportionPublicLibData,DateLibDataLastUpdated,Notes,OpenDataCensusScores,StateAbbr,LibID,LibName,Locale,ServiceAreaPop,UnduplicatedPop,CentralLibs,BranchLibs,Bookmobiles,MLSLibStaff,LibStaff,OtherStaff,TotalStaff,LocalRevenue,StateRevenue,FederalRevenue,OtherRevenue,TotalRevenue,Salaries,Benefits,TotalStaffExpenditures,PrintExpenditures,ElectronicExpenditures,OtherCollectionExpenditures,TotalCollectionExpenditures,OtherExpenditures,TotalExpenditures,LocalCapitalRevenue,StateCapitalRevenue,FederalCapitalRevenue,OtherCapitalRevenue,TotalCapitalRevenue,CapitalExpenditures,PrintMaterials,EBooks,AudioMaterials,AudioDownloads,VideoMaterials,VideoDownloads,LocalDatabases,StateDatabases,TotalDatabases,PrintSerials,Hours,Visits,References,Users,TotalCirculation,KidsCirculation,ElectronicCirculation,PhysicalItemCirculation,ElectronicInfoRetrievals,ElectronicContentUses,TotalCirculationAndRetrievals,LoansTo,LoansFrom,TotalPrograms,KidsPrograms,YAPrograms,ProgramAudience,KidsProgramAudience,YAProgramAudience,Computers,ComputerUses,WiFiSessions,Year,StartDate,EndDate,ReportingStatus,BEARegion,InterlibraryRelationship,MailingCity,MailingZip,County,CountyPop,MetroMicroArea,ESRIMatchStatus,GeographicCode,GeocodeScore,Longitude
Sacramento,California,http://data.cityofsacramento.org/,http://data.cityofsacramento.org/,ArcGIS,92,,0,,,0,,,1385,CA,M701,SACRAMENTO PUBLIC LIBRARY,11,1418051,1418051,1,27,2,77.5,88.5,197.5,286,35795649,76304,626496,3656164,40154613,18510314,4537332,23047646,2244464,1936340,399285,4580089,8929290,36557025,0,0,0,0,0,1038121,976513,86415,43536,16807,81403,1947,41,0,41,1830,52018,4252802,165600,651636,7480731,2903894,778071,6702660,415097,1193168,7895828,147616,108088,7958,4639,898,207322,162290,13427,755,611940,465960,2017,7/1/2015,6/30/2016,1,8,ME,SACRAMENTO,95814,SACRAMENTO,1514460,0,E,CO2,100,"(38.581894, -121.494958)"
San Francisco,California,https://datasf.org/opendata/,https://datasf.org/opendata/,Socrata,324,restricted to type: Datasets,1,"patron, circulation","patrons,catalogandcirculation",0.003086419753,12.22.2016,"Searches restricted to view type ""Datasets"".",1845,CA,M710,SAN FRANCISCO PUBLIC LIBRARY,11,866583,866583,1,27,4,213,219,489,708,120825707,74029,0,1091902,121991638,48721840,26799090,75520930,6014275,4700253,2313265,13027793,23926262,112474985,69653,0,0,5863,75516,1111417,2618747,159602,96791,219497,247119,43934,217,0,217,6505,70360,6362573,714790,429633,10677967,3002182,1869803,8808164,7528590,9398393,18206557,60049,40411,18170,11076,2695,505716,405880,31253,867,1093316,2100210,2017,7/1/2015,6/30/2016,1,8,ME,SAN FRANCISCO,94102,SAN FRANCISCO,870887,0,E,CO1,100,"(37.779047, -122.416627)"
San Jose,California,http://data.sanjoseca.gov/home,http://data.sanjoseca.gov/,Kaggle,41,,0,,,0,,Data available behind log-in,920,CA,M711,SAN JOSE PUBLIC LIBRARY,11,1042094,1042094,1,23,0,91,93,261.29,354.29,36913662,110989,61015,1614928,38700594,19630562,9810403,29440965,3714778,1374596,965843,6055217,3856781,39352963,29800314,0,0,0,29800314,27164217,1924050,131875,109367,35678,199295,10017,67,0,67,2647,56258,6855000,550000,517090,9730584,4652743,570938,9159646,363354,934292,10093938,24008,19498,16600,10850,865,395400,317984,13050,1265,1239519,723840,2017,7/1/2015,6/30/2016,1,8,ME,SAN JOSE,95112,SANTA CLARA,1919402,0,E,CI1,100,"(37.336132, -121.885267)"
Santa Monica,California,https://data.smgov.net/,https://data.smgov.net/,Socrata,33,,1,patrons by zipcode,patrons,0.0303030303,08.29.2014,"Searches restricted to view type ""Datasets"".",1560,CA,M726,SANTA MONICA PUBLIC LIBRARY,13,93640,93640,1,4,0,41.38,41.38,69.62,111,11928118,0,30000,498900,12457018,6888097,2595185,9483282,643620,302362,196826,1142808,1294330,11920420,745000,0,0,0,745000,598281,373754,10785,24329,15976,40691,7070,26,0,26,656,10806,1184130,151654,63586,1470389,411938,101886,1368503,50387,152273,1520776,2252,137,1994,1163,171,65803,42320,2483,160,164318,63778,2017,7/1/2015,6/30/2016,1,8,ME,SANTA MONICA,90406,LOS ANGELES,10137915,0,E,CI1,100,"(34.018043, -118.493252)"
Seattle,Washington,https://data.seattle.gov/,https://data.seattle.gov/,Socrata,267,restricted to type: Datasets,3,"circulation, collection, data dictionary",catalogandcirculation,0.01123595506,01.06.2019,"Searches restricted to view type ""Datasets"".",1410,WA,WA0064,SEATTLE PUBLIC LIBRARY,11,686800,686800,1,26,4,139.46,139.46,453.48,592.94,65518211,0,0,7723352,73241563,37920410,16918703,54839113,3551557,3706724,1375093,8633374,9202919,72675406,4527000,0,0,0,4527000,4101985,1543422,263084,128452,54264,157157,70391,86,14,100,3890,67819,5481047,352534,378222,10842369,2915364,2169036,8673333,1196774,3365810,12039143,9885,2471,10210,5536,946,330808,192697,22638,605,1008492,1816093,2017,1/1/2016,12/31/2016,1,8,NO,SEATTLE,98104,KING,2149970,0,E,CI1,100,"(47.606211, -122.332978)"
St. Paul,Minnesota,https://information.stpaul.gov/,https://information.stpaul.gov/,Socrata,20,restricted to type: Datasets,0,,,0,,"Searches restricted to view type ""Datasets"".",,MN,M0800,SAINT PAUL PUBLIC LIBRARY,11,285068,269203,1,12,1,31,31,142.7,173.7,16663463,310696,0,1966760,18940919,8967273,3312163,12279436,586772,446029,260141,1292942,4876689,18449067,18369,0,0,199479,217848,217848,777789,114675,51601,10424,99629,0,29,49,78,975,35120,2226416,301013,360047,2702986,1076083,318889,2384097,397868,716757,3100854,28280,17576,7682,4432,905,149245,102866,15216,411,312360,-1,2017,1/1/2016,12/31/2016,1,4,ME,SAINT PAUL,55102,RAMSEY,540649,0,E,CI1,100,"(44.941299, -93.118838)"
Tampa,Florida,http://city-tampa.opendata.arcgis.com/,http://city-tampa.opendata.arcgis.com/,ArcGIS,93,,1,location,geospatial,0.01075268817,03.05.2018,,,FL,FL0035,HILLSBOROUGH COUNTY PUBLIC LIBRARY COOPERATIVE,11,1387840,1380947,0,28,2,138.18,138.18,224.73,362.91,39635838,1144126,0,1613029,42392993,15291277,5490941,20782218,2032102,2455116,468131,4955349,10365687,36103254,548817,0,0,0,548817,449129,1742973,214532,122276,46129,289225,33692,76,68,144,2393,76810,4404315,775553,680282,8931559,2984038,3446794,5484765,-1,-1,8931559,2307,2990,14974,6602,1625,299690,208340,24237,1640,782202,753777,2017,10/1/2015,9/30/2016,1,5,ME,TAMPA,33602,HILLSBOROUGH,1376238,0,E,CO1,100,"(27.951199, -82.461648)"
Tempe,Arizona,https://data.tempe.gov/,https://data.tempe.gov/,CKAN,107,,0,,,0,,,,AZ,AE-TEMPE,TEMPE PUBLIC LIBRARY,12,176584,111929,1,0,0,15.28,15.28,20.24,35.52,3572632,8398,7500,141904,3730434,1674227,578983,2253210,93664,227987,25271,346922,972500,3572632,0,0,0,0,0,0,207079,15773,10098,3929,11844,167,13,33,46,177,2912,692886,31118,124736,837833,281317,128805,709028,605369,734174,1443202,579,607,1390,332,68,37826,25965,1434,140,148023,-1,2017,7/1/2015,6/30/2016,1,6,NO,TEMPE,85282,MARICOPA,4242997,0,E,CI2,100,"(33.391177, -111.926403)"
Virginia Beach,Virginia,"https://data.vbgov.com/
 http://gis.data.vbgov.com/","https://data.vbgov.com/
",Socrata,30,restricted to type: Datasets,0,,,0,,"Searches restricted to view type ""Datasets"".",1370,VA,VA0082,VIRGINIA BEACH PUBLIC LIBRARY,11,449628,449628,1,9,1,42,42,250,292,23071752,215065,35861,25357,23348035,9944189,3477538,13421727,886288,830198,450007,2166493,6508991,22097211,0,0,0,0,0,0,550914,26010,68939,9396,54613,1463,84,35,119,1013,28148,2002625,288237,365276,3176634,548395,398680,2777954,987901,1386581,4164535,3294,421,7335,5130,441,167811,153481,9261,275,420715,288176,2017,7/1/2015,6/30/2016,2,5,NO,VIRGINIA BEACH,23456,VIRGINIA BEACH,452602,0,E,CI1,100,"(36.750576, -76.055538)"
Washington,DC,http://opendata.dc.gov/,http://opendata.dc.gov/,ArcGIS,1161,,1,location,geospatial,0.0008613264427,05.11.2018,,1360,DC,DCPL,DISTRICT OF COLUMBIA PUBLIC LIBRARY,11,681170,681170,1,25,0,153,153,381.9,534.9,55074028,0,924058,1159803,57157889,34153855,7934292,42088147,2137334,1201015,333589,3671938,10716435,56476520,21095000,0,0,0,21095000,18699010,1862550,244210,30262,21187,153017,903,133,0,133,2702,83044,3930763,807100,406801,4439827,1512196,1151684,3288143,-1,1151684,4439827,0,154,13949,8038,1204,317699,259633,9282,1000,981495,393468,2017,10/1/2015,9/30/2016,2,2,NO,WASHINGTON,20001,DIST OF COLUMBIA,681170,0,E,CI1,92.43,"(38.898412, -77.024069)"
Wichita,Kansas,http://opendata.wichita.gov/,http://opendata.wichita.gov/,ArcGIS,71,,0,,,0,,,,KS,KS0319,WICHITA PUBLIC LIBRARY,11,389965,389965,1,7,0,29,30,76,106,8447082,385130,263,294385,9126860,4775218,1604126,6379344,555616,170887,182125,908628,1385115,8673087,0,0,0,0,0,0,573200,91873,43394,23137,56601,0,0,64,64,744,20362,967166,136903,142314,2107855,637983,124213,1983642,0,124213,2107855,14164,6406,2589,1542,104,66915,52655,4438,88,123686,51409,2017,1/1/2016,12/31/2016,1,4,ME,WICHITA,67202,SEDGWICK,511995,0,E,CI1,100,"(37.684391, -97.338206)"
